experiment,arm,payload_regime,channel_family,condition,trials,capacity_success_rate,geometry_success_rate,exact_recover_rate,robust_recover_rate,decoder_wrong_output_rate,authenticated_false_acceptance_rate,substitution_replay,structure_recovery_rate,data_recovery_rate,diagnostic_accuracy_mean,localization_ms_mean,symbol_decode_ms_mean,ecc_ms_mean,authentication_ms_mean,total_decode_ms_mean
equal_area,custom_grid,medium,photo_recompress,photo_a15_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.001133334900563,0.27550000231713057,93.87213333199422,0.15733332838863134,102.31826666858979
equal_area,custom_grid,medium,photo_recompress,photo_a15_dark_q50,3,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,n/a,1.0,0.6666666666666666,0.918947933440687,7.433699996909127,0.2781333460006863,157.25326666142792,0.09130000641259055,166.22769999473044
equal_area,custom_grid,medium,photo_recompress,photo_a15_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.3545999960818635,0.2104666685530295,94.55580000455181,0.1407999952789396,103.20579998854858
equal_area,custom_grid,medium,photo_recompress,photo_a30_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,6.757233320968226,0.2421000002262493,95.67610000764641,0.18689999706111848,103.8427666547553
equal_area,custom_grid,medium,photo_recompress,photo_a30_dark_q50,3,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,n/a,1.0,0.3333333333333333,0.8703709391638178,7.384033330405752,0.22146665529968837,198.44190001216097,0.04673333023674786,207.14563333118954
equal_area,custom_grid,medium,photo_recompress,photo_a30_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,6.8733666751844185,0.2504666626919061,102.8967000117215,0.14886666516152522,111.26976666855626
equal_area,custom_grid,medium,scale,scale_100,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.5652999997449415,0.3003666643053293,105.21220000615965,0.1773999926323692,114.45113332592882
equal_area,custom_grid,medium,scale,scale_25,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.696700001057859,0.27223333017900586,110.13086666935124,0.1725999948879083,119.42503332587269
equal_area,custom_grid,medium,scale,scale_50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.656000001588836,0.29349999385885894,99.3164666579105,0.15999998625678322,108.44523331616074
equal_area,custom_grid,medium,scale,scale_75,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.694866662456965,0.2601333447576811,110.9908666597524,0.16230000377011797,121.16983333059277
equal_area,custom_grid,small,colorspace_gamma,cool_tint,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.005599996773526,0.14573333707327643,43.8866333279293,0.1622333462970952,52.16056669208532
equal_area,custom_grid,small,colorspace_gamma,gamma_070,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,6.83706667041406,0.13900000097540519,37.831100004647546,0.1379000023007393,45.749300004293524
equal_area,custom_grid,small,colorspace_gamma,gamma_140,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.232799999959146,0.14913335326127708,37.9976999926536,0.13666665957619747,46.453966662132494
equal_area,custom_grid,small,colorspace_gamma,warm_tint,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,6.815699996271481,0.149200001033023,43.47826666586722,0.13706666262199482,51.43843332189135
equal_area,custom_grid,small,grayscale,grayscale,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,6.876833339144166,0.14930000179447234,45.185633323853835,0.16693333357882997,53.20786667289212
equal_area,custom_grid,small,identity,identity,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,6.97089999448508,0.19513333487945297,42.83549999430155,0.140233343699947,51.06836667012734
equal_area,custom_grid,small,jpeg,jpeg_q30,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.476699994488929,0.19440000566343466,42.376700012634196,0.13933332714562616,51.04319998645224
